trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0122887	0.00131
0.0014	-0.0187	0.0094	0.0005201081170943102	-9.948376736367679e-05	-0.00020769418098732522	1.01514578	41.12313461	0.97187789	0.07086430327226562	0.0118722	0.00063
-0.0025	0.0445	0.0061	0.0007155849933176752	-0.00030194196059501896	-0.00038048177693476387	1.00214791	40.59659958	0.96264914	0.09893613327010728	0.010853	0.0004
-0.0048	0.1066	0.0037	0.00040840704496667313	-0.0003351032163829112	-0.0004520402762665313	1.00144386	40.56807709	0.96140321	0.08739488517353308	0.0113002	0.00035
0.001	0.0446	0.0078	0.0005497787143782138	-0.000307177948351002	-0.0003612831551628262	0.98503965	39.90354919	0.94935828	0.08490270292735774	0.0113328	0.00041
0.0007	0.0563	0.0087	0.0005113814708343385	-0.00033684854563490564	-0.00039968039870670147	0.95471644	38.67516708	0.93589047	0.01822325421858271	0.0114077	0.00037
-0.0002	0.0967	0.0054	-3.490658503988659e-05	-0.00018675022996339323	-0.0004363323129985824	0.99377239	40.25730896	0.96880151	0.0812519142918809	0.0109088	0.00018
0.0026	-0.0424	0.006	0.00032637657012293966	-0.0003822271061867582	-0.0004310963252425994	1.14831138	46.51762009	1.06216866	0.17059980095710872	0.0127236	0.00055
-0.0026	0.01	0.0047	0.0002652900463031381	-0.0004485496177625427	-0.0004974188368183839	1.0341078	41.89128113	0.96543029	0.06858657734856853	0.0120312	0.00047
0.0022	0.027	0.0037	-2.6179938779914945e-05	-0.00021642082724729686	-0.0002478367537831948	1.03627872	41.97922134	0.97447743	0.0614590429316744	0.0115426	0.00032
0.0053	-0.0382	0.0156	0.0002181661564992912	-0.0003106686068549907	-0.0002670353755551324	1.02891529	41.68093491	0.97476735	0.09808962483294185	0.0122874	0.00057
0.0034	0.0372	0.0181	0.00010471975511965978	-0.00039269908169872416	-0.0002443460952792061	1.04182458	42.20388412	0.97264751	0.09070830782496454	0.0119159	0.00027
0.0054	0.0573	0.0177	-3.490658503988659e-05	-0.00028274333882308137	-0.00020769418098732522	0.99754822	40.41026688	0.95539016	0.03681169986635351	0.0115622	0.00027
0.0051	0.012	0.025	0.0002443460952792061	-0.0003682644721708035	-0.0004014257279586958	0.99347305	40.24518204	0.95650628	0.08082526803190924	0.0120459	0.00031
0.003	0.0786	0.0212	7.504915783575618e-05	-0.0003054326190990077	-0.0005550147021341969	1.00773573	40.82295609	0.96326165	0.09178588823453736	0.0107079	0.00021
0.0054	0.1056	0.017	-0.00022340214425527416	-6.283185307179586e-05	-0.00041015237421866745	1.00341976	40.64811707	0.96238932	0.06789571980168857	0.0111611	0.00021
0.0103	0.0127	0.0217	8.552113334772214e-05	-3.490658503988659e-05	-0.0004468042885105483	1.0746007	43.53162766	1.00637454	0.12117502299633932	0.0105593	0.00025
0.0097	0.0504	0.0194	4.886921905584123e-05	-0.0001605702911834783	-0.00046425758103049166	0.95128167	38.536026	0.93297381	0.04958844564777079	0.0101973	0.00019
0.0096	0.0514	0.0147	5.585053606381854e-05	-0.0001937315469713706	-0.0003961897402027128	0.95356119	38.62836838	0.9207614	0.011210520681182426	0.0109295	0.00028
0.0132	0.0937	0.0141	-0.000466002910282486	8.901179185171081e-05	-0.0002670353755551324	1.02398992	41.48140717	0.96574698	0.09318755749084832	0.0100389	0.00027
0.0154	0.0002	0.0198	-0.0002129301687433082	0.0	-0.00017976891295541595	1.06278682	43.05305481	0.99900564	0.12286754979953024	0.0113156	0.00029
0.0185	0.0069	0.0322	-0.00041189770347066176	-0.0002583087292951608	-0.00013264502315156904	0.95424908	38.65623474	0.93419008	0.04742000769131806	0.0118207	0.00044
0.0163	0.0853	0.0236	-0.0008063421144213803	-0.0002007128639793479	5.235987755982988e-06	1.03364432	41.87250137	0.97883175	0.11869606435870415	0.0112786	0.00023
0.0177	0.0284	0.0198	-0.0006754424205218055	-5.061454830783555e-05	5.585053606381854e-05	0.99214685	40.19145966	0.95960258	0.07868062789394614	0.0103275	0.00025
0.0186	0.0137	0.0208	-0.0005113814708343385	-8.901179185171081e-05	0.0001239183768915974	0.94358647	38.22429657	0.92449364	0.03012630170295605	0.0100391	0.00032
0.0187	0.0986	0.0138	-0.0007714355293814937	0.00010471975511965978	2.4434609527920616e-05	1.04892886	42.49167252	0.97909955	0.11966346864411012	0.0100834	0.00025
0.0193	0.0426	0.0143	-0.00046949356878647465	0.00017627825445142725	1.5707963267948964e-05	0.99969614	40.49727631	0.95725338	0.07621135530933791	0.00921863	0.00021
0.0194	0.0468	0.0164	-0.00024609142453120044	6.981317007977319e-05	-4.0142572795869576e-05	0.9288379	37.62683868	0.92234225	0.025685888234537345	0.00977492	0.00019
0.0173	0.1055	0.0108	-0.0006527531402458793	0.0001186823891356144	-0.00012740903539558605	0.97209519	39.37917328	0.94576744	0.0935398698685118	0.00900304	0.00016
0.0155	0.049	0.0097	-0.0003717551306747922	0.00013962634015954637	-0.0001361356816555577	0.97247779	39.39467239	0.94432216	0.07493343034274953	0.00909334	0.00016
0.0143	0.0483	0.008	-0.00022340214425527416	4.537856055185256e-05	-0.00020594885173533088	0.93620491	37.9252739	0.92356322	0.019220696805349248	0.00909501	0.00019
0.0155	0.1364	0.0011	-0.00047822021504644627	0.00023387411976724014	-0.00021642082724729686	1.05020964	42.54356003	0.99743657	0.11888928027592625	0.00975627	0.00018
0.0161	0.0226	0.0078	-0.0002303834612632515	0.00017278759594743863	-0.00016231562043547262	1.10104561	44.60290146	1.02438618	0.13925142422074102	0.00974017	0.0002
0.016	0.0187	0.0078	-8.203047484373349e-05	9.599310885968811e-05	-0.00022863813201125715	0.94284165	38.19412613	0.9265456	0.018573499254152647	0.0103056	0.00015
0.0134	0.0642	-0.001	-0.000148352986419518	0.00014486232791552936	-0.00029321531433504735	0.99592298	40.34442902	0.94758085	0.0658884456477708	0.00889701	0.00015
0.0132	0.071	-0.0033	-0.00020943951023931956	0.0002530727415391778	-0.00032812189937493397	0.9774794	39.59728622	0.93827967	0.019510176124166837	0.00905013	9e-05
0.0117	0.0215	0.0042	0.00016231562043547262	0.00011344640137963142	-0.00041189770347066176	0.99986732	40.50421143	0.9487077	0.08825786374650331	0.0094344	0.00014
0.015	0.0577	0.0039	0.00014311699866353502	7.67944870877505e-05	-0.0003211405823669566	0.95196509	38.56371307	0.92513021	0.047130382858376174	0.00961983	0.00017
0.0165	0.1242	-0.0013	-0.000312413936106985	0.0001675516081914556	-0.000291469985083053	0.99575841	40.33776093	0.96263903	0.10199793265790644	0.00951892	0.00014
0.0158	0.0805	-0.0012	-0.0002844886680750757	0.0002530727415391778	-0.00027576202181510406	0.96255702	38.99278641	0.93942747	0.05095771823237903	0.00835395	0.00011
0.0154	0.0152	0.0037	0.000148352986419518	0.00028797932657906436	-0.0002722713633111154	0.9898988	40.10039139	0.95690667	0.09416194490192344	0.00844747	8e-05
0.0159	0.0553	0.0014	4.0142572795869576e-05	0.00013264502315156904	-0.0002373647782712288	0.98015535	39.70568848	0.93921291	0.05782256510455153	0.00835949	0.00014
0.0162	0.067	0.0016	-2.4434609527920616e-05	4.537856055185256e-05	-0.00015184364492350666	0.9488945	38.43932343	0.92349898	0.02406823891356144	0.00851506	0.00014
0.0153	0.1115	0.0005	-0.0004415683007545654	0.00017278759594743863	-2.4434609527920616e-05	0.99687403	40.38295364	0.95192306	0.08009758810089085	0.00994158	0.00013
0.0193	0.063	0.0033	-0.0003316125578789226	0.0002652900463031381	4.363323129985824e-05	0.98915166	40.07012558	0.95411302	0.06882630170295606	0.00992495	0.00012
0.0198	0.037	0.006	-6.632251157578452e-05	0.00015707963267948963	-2.268928027592628e-05	0.96911061	39.25827026	0.94528823	0.05119114857512856	0.00956517	0.0001
0.017	0.0577	-0.0004	-8.37758040957278e-05	0.00015009831567151235	-2.96705972839036e-05	0.99452615	40.2878418	0.93903053	0.0314707963267949	0.00914329	0.00015
0.0169	0.1255	-0.005	-0.0007086036763096977	0.0003717551306747922	0.00014486232791552936	1.1022265	44.65074158	1.004088	0.12355088062083414	0.00952989	0.00016
0.0217	0.021	0.003	-0.000312413936106985	0.0003385938748868999	0.00011519173063162575	1.12004268	45.37246704	1.02480393	0.1402510796637254	0.00879616	0.00016
0.0203	0.0173	0.0076	0.0001064650843716541	0.00030368728984701333	-1.5707963267948964e-05	0.96449816	39.07142258	0.93746559	0.03893426497090503	0.00839448	0.0001
0.0167	0.0955	0.0013	-0.0002548180707911721	0.00039095375244672985	-4.886921905584123e-05	1.03219092	41.81362534	0.97313011	0.11218554367752176	0.00806767	9e-05
0.0154	0.0809	-0.0089	-2.4434609527920616e-05	0.0005515240436302081	-9.250245035569947e-05	0.97376251	39.44671631	0.94418332	0.04782934918732941	0.00756723	0.00012
0.0164	0.0605	-0.0117	0.00038048177693476387	0.0004572762640225143	-5.585053606381854e-05	0.98206037	39.7828598	0.93707077	0.05099080401811296	0.00795084	0.00011
0.0146	0.1217	-0.015	-6.45771823237902e-05	0.0005235987755982988	-1.0471975511965975e-05	1.04004896	42.13195419	0.96706301	0.09413800156930957	0.00815064	8e-05
0.0191	0.089	-0.01	-0.0002007128639793479	0.0005288347633542819	3.665191429188092e-05	0.9927839	40.21726608	0.94786357	0.05162477796076938	0.007788	0.00012
0.0214	0.038	-0.0064	0.00022340214425527416	0.00045902159327450867	-1.2217304763960308e-05	0.99860662	40.45314026	0.95091324	0.08403986986851182	0.00801754	7e-05
0.0214	0.077	-0.0138	0.00020594885173533088	0.0004206243497306334	-6.45771823237902e-05	0.97291219	39.41226959	0.9337635	0.051810520681182415	0.00790709	0.0001
0.0175	0.0935	-0.0212	-6.9813170079773176e-06	0.0005183627878423159	-7.330382858376184e-05	0.98478335	39.89316559	0.9369435	0.04376976265574811	0.00784469	0.00011
0.0179	0.0587	-0.0204	0.00028274333882308137	0.00042236967898262774	-0.00014311699866353502	1.00713837	40.79875946	0.94788788	0.05877654673852599	0.00811678	8e-05
0.0138	0.0781	-0.0134	0.0004258603374866164	0.0004747295565424576	-0.00019198621771937622	1.0065484	40.77486038	0.94176102	0.0427173047639603	0.008443	0.00014
0.0153	0.0919	-0.0038	0.00020420352248333657	0.0005811946409141118	-0.00019896753472735358	1.00327981	40.64244843	0.93797962	0.041655160819145554	0.00762379	7e-05
0.015	0.0736	-0.0033	0.00023387411976724014	0.00046425758103049166	-0.0002844886680750757	0.99324292	40.23585892	0.95018059	0.030706439525762286	0.00796133	0.00015
0.0107	0.0886	-0.0101	-5.93411945678072e-05	0.0005619960191421741	-0.00032637657012293966	1.0542264	42.70627594	0.9765838	0.04774208272472968	0.00782102	0.00014
0.0006	0.0963	-0.0151	-0.00029321531433504735	0.0005201081170943102	-0.0004886921905584122	1.03699291	42.00815201	0.96255064	0.04470388211252883	0.00838929	0.00018
0.0032	0.0633	-0.0157	8.552113334772214e-05	0.0005585053606381855	-0.0005096361415823442	1.00082195	40.54288101	0.94264773	0.05810388211252884	0.00778061	0.00013
-0.0055	0.1058	-0.0254	0.0004974188368183839	0.000614355896702004	-0.0006161012259539982	1.02618587	41.57036591	0.95732027	0.08961066619530672	0.00811344	8e-05
0.0009	0.0897	-0.0223	0.0003822271061867582	0.0005480333851262194	-0.0005742133239061344	1.011585	40.97888947	0.94381197	0.036770107212763706	0.00763083	5e-05
0.0015	0.1152	-0.0186	0.00017802358370342162	0.0004729842272904633	-0.0005410520681182421	1.01674592	41.18795776	0.94528527	0.04542069680534924	0.00832707	9e-05
