trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0163313	0.00558
-0.0011	-0.1363	0.0327	2.268928027592628e-05	-0.00011344640137963142	-2.6179938779914945e-05	1.19589281	55.2804985	1.06109013	0.17821578102177363	0.0120147	0.00205
-0.0014	-0.0333	0.0401	-3.490658503988659e-05	-0.00011519173063162575	-0.00011170107212763708	1.03760338	47.96352386	0.98161207	0.11794311639577644	0.0144366	0.00303
-0.004	-0.0352	0.0495	-0.0001605702911834783	-0.00013788101090755203	-0.0001186823891356144	1.01255929	46.80585098	0.97655673	0.021666715171374768	0.015132	0.00491
-0.0052	0.0543	0.026	-0.00029496064358704166	-4.537856055185256e-05	-9.250245035569947e-05	1.17796803	54.45192337	1.06609384	0.1268536370769589	0.0193138	0.00821
-0.0032	-0.1254	0.0215	-0.00034906585039886593	-5.235987755982988e-06	-2.6179938779914945e-05	1.32663083	61.32390213	1.11648819	0.19422851455917392	0.0133774	0.00239
-0.0028	0.0485	0.0162	-0.0004956735075663896	0.0001064650843716541	-8.726646259971648e-06	1.34438288	62.14449692	1.13029357	0.1933881010907552	0.0197794	0.00818
-0.0023	-0.169	-0.0006	-0.0005113814708343385	8.552113334772214e-05	7.330382858376184e-05	1.42472804	65.85847473	1.16705945	0.24073411945678075	0.0135254	0.00217
-0.0	0.014	-0.0122	-0.0004974188368183839	0.00017802358370342162	0.00015533430342749534	1.31803858	60.92672348	1.11362651	0.20632477796076937	0.0183273	0.00527
-0.0014	-0.1668	-0.0124	-0.0003385938748868999	7.330382858376184e-05	0.00020420352248333657	1.31495595	60.78422546	1.1094286	0.19802069680534928	0.013481	0.0017
-0.0021	0.0305	-0.0129	-0.00010821041362364843	9.773843811168246e-05	0.00023387411976724014	1.36081243	62.90395737	1.12959138	0.21272443340375377	0.0188612	0.00506
0.0015	-0.1244	-0.011	0.00011170107212763708	0.0001605702911834783	0.0003769911184307752	1.25296152	57.91851807	1.08111702	0.1816930168743308	0.0130689	0.00135
-0.0008	0.0763	-0.0067	0.00015533430342749534	0.00011344640137963142	0.0002722713633111154	1.35078037	62.44022369	1.13672552	0.21707384381116823	0.0203376	0.0069
-0.0064	-0.0476	-0.0108	0.00014137166941154068	7.504915783575618e-05	0.0002303834612632515	1.14031863	52.71156693	1.0360525	0.13831238898038467	0.0141016	0.00203
-0.0045	0.0767	-0.0471	1.5707963267948964e-05	8.028514559173915e-05	0.000322885911618951	1.16585672	53.89207458	1.05034889	0.1736701072127637	0.0207748	0.00841
-0.0058	-0.0208	-0.0441	0.000296705972839036	8.726646259971648e-06	0.00045553093477052	1.11219847	51.4117012	1.01953049	0.12606007660272117	0.0152157	0.0024
-0.001	0.0105	-0.0711	0.0005096361415823442	3.490658503988659e-05	0.0005201081170943102	1.06112659	49.05088806	0.99835795	0.07828436449235066	0.0178092	0.00383
-0.0012	-0.0231	-0.03	0.0004747295565424576	-1.7453292519943296e-05	0.0005026548245743669	1.15887117	53.56916428	1.04499009	0.08013598775598299	0.0152978	0.00218
0.0034	-0.027	-0.0388	0.00017104226669544429	0.00014486232791552936	0.0006981317007977319	1.03732777	47.95078278	0.98480641	0.05037398932529255	0.0157409	0.00182
0.0009	-0.0305	-0.0215	0.0001675516081914556	4.886921905584123e-05	0.0006771877497737998	0.93895853	43.40363693	0.93965316	0.02932138591938044	0.0151445	0.00162
0.0013	-0.101	-0.0244	0.00028797932657906436	0.0001308996938995747	0.0007871434926494425	1.00336099	46.3806572	0.96902028	0.08942069680534925	0.0128866	0.00069
-0.0028	0.0462	-0.0007	0.0002897246558310587	3.490658503988659e-05	0.0007400196028455958	1.1937983	55.18367767	1.05752125	0.18224311639577645	0.0179139	0.00324
-0.0004	-0.1309	-0.0383	0.0005567600313861911	0.00010821041362364843	0.0009023352232810684	1.27767372	59.06084824	1.10069799	0.24223274122871832	0.0118238	0.00051
0.0003	-0.0039	-0.0063	0.0005864306286700947	7.330382858376184e-05	0.0008168140899333463	1.10011101	50.85295868	1.00807043	0.16720491578357563	0.0152346	0.0014
0.005	-0.1419	-0.0015	0.00091106186954104	0.000148352986419518	0.000853466004225227	1.14010108	52.70150757	1.0273226	0.16931661564992911	0.0102423	0.00027
0.005	0.0196	0.0028	0.0004729842272904633	0.00015009831567151235	0.0008133234314293575	1.17659414	54.38841248	1.0454338	0.189798277214922	0.0159514	0.00163
0.0024	-0.0887	0.0126	0.0006667157742618339	0.00013439035240356338	0.0008587019919812101	1.04854882	48.46947861	0.98438053	0.1334409035395586	0.0109743	0.00035
0.0001	-0.0562	-0.0013	0.0009861110273767962	0.00015184364492350666	0.0008429940287132613	0.96524304	44.61864471	0.94608884	0.06632782544514272	0.0117429	0.00036
-0.0003	-0.0404	0.024	0.0011885692206081383	0.00010297442586766544	0.0007853981633974483	0.95036095	43.93071747	0.93527492	0.056946163880149815	0.0115452	0.00025
0.003	-0.1555	0.0058	0.001350884841043611	7.330382858376184e-05	0.0008569566627292158	1.08263254	50.04500961	0.99626645	0.14977723585255717	0.00835621	0.00021
0.0006	0.0014	0.0222	0.0013194689145077131	7.155849933176751e-05	0.0007766715171374765	1.17003357	54.08514786	1.03940282	0.1813723200689816	0.0135491	0.00079
0.0054	-0.1297	0.0205	0.0014800392056911916	0.0001291543646475804	0.0008203047484373349	1.15553558	53.41497421	1.03099972	0.1506899693899575	0.00913477	0.00025
0.0093	0.02	0.0161	0.0015603243512829306	0.00011693705988362007	0.0008237954069413235	1.21162081	56.00753021	1.06125789	0.16279965544298436	0.0147322	0.00074
0.0118	-0.1181	0.0006	0.0014276793281313615	0.0001064650843716541	0.0008813912722571365	1.12037277	51.78956223	1.00815234	0.16613564319896743	0.00975651	0.00021
0.0095	-0.0547	-0.0073	0.0015987215948268059	4.18879020478639e-05	0.000804596785169386	0.98041463	45.31995773	0.9509051	0.08922069680534923	0.011677	0.00037
0.01	-0.1067	0.0163	0.0014957471689591403	2.094395102393195e-05	0.0008447393579652555	0.99040931	45.78196335	0.96071554	0.08430304748437337	0.00947684	0.00021
0.011	-0.1037	0.0008	0.001614429558094755	8.726646259971648e-06	0.000853466004225227	0.94403237	43.63817596	0.93473167	0.026481317007977328	0.00951862	0.00019
0.0099	-0.0985	0.0286	0.0014573499254152652	-7.330382858376184e-05	0.0008604473212332044	0.94861537	43.85002518	0.94048604	0.046404571226560026	0.00907642	0.00018
0.0109	-0.091	0.0158	0.0013753194505715315	-7.67944870877505e-05	0.000879645943005142	0.91395611	42.24789047	0.92387332	0.026535987755983002	0.00966871	0.0002
0.0093	-0.0067	0.0547	0.0011780972450961724	-0.0001291543646475804	0.0008621926504851988	1.06732953	49.3376236	1.0068554	0.1381517687777566	0.0124223	0.00047
0.0097	-0.0944	0.0295	0.0012793263417118436	-0.00011170107212763708	0.0009546951008408983	1.03578424	47.87943268	0.98238266	0.1238592419745657	0.00879306	0.00018
0.009	-0.0423	0.0525	0.0013212142437597075	-0.00019198621771937622	0.0009843656981248017	0.9110595	42.1139946	0.92073021	0.08339218224617533	0.0101243	0.00019
0.0097	-0.1964	0.0461	0.0016126842288427606	-0.0002303834612632515	0.0010629055144645468	1.14880073	53.10365295	1.02358072	0.18162035224833364	0.00582987	0.0001
0.0098	-0.0781	0.067	0.0017139133254584315	-0.0002303834612632515	0.0011693705988362008	1.04218137	48.17514038	0.96879578	0.14968470904936623	0.00821716	0.00011
0.0099	-0.2474	0.0738	0.0019861846887695473	-0.0002583087292951608	0.0012671090369478833	1.19502878	55.24055862	1.03888425	0.19609675347273536	0.00498885	6e-05
0.0098	-0.1488	0.081	0.0019408061282176943	-0.00031415926535897925	0.0012601277199399059	0.99606276	46.04329681	0.94437464	0.11131052068118245	0.00593299	8e-05
0.0089	-0.1999	0.0969	0.0022549653935766737	-0.0003647738136668148	0.0013281955607676848	0.95074338	43.94839478	0.93479388	0.0895420827247297	0.004969	0.00013
0.0123	-0.1779	0.0822	0.002453932928304027	-0.00035430183815484887	0.001408480706359424	0.90411919	41.79317856	0.9136467	0.054586232791552926	0.00501508	5e-05
0.0131	-0.1238	0.104	0.002478367537831948	-0.0003525565089028545	0.0014556045961632708	0.93442345	43.19400024	0.9230082	0.08036519142918809	0.00635892	8e-05
0.0127	-0.2095	0.0894	0.0027104963283471934	-0.00035081117965086024	0.001504473815219112	0.95940983	44.34900284	0.93130889	0.11483716694115403	0.00429571	6e-05
0.0122	-0.1548	0.0918	0.0025603980126756814	-0.0003385938748868999	0.001500983156715123	0.90152097	41.67307281	0.91173609	0.06589031394697306	0.00559175	7e-05
0.0127	-0.2044	0.1069	0.0022602013813326567	-0.0003298672286269283	0.0014957471689591403	1.01257241	46.80646133	0.96123997	0.08090796326794894	0.00545865	0.00011
0.0128	-0.1422	0.0928	0.002398082392240209	-0.00023387411976724014	0.0015847589608108511	1.03913414	48.03428268	0.97179441	0.09254429558094755	0.00625134	8e-05
0.0151	-0.2229	0.1098	0.0021851522234969008	-0.0002007128639793479	0.0017191493132144146	1.02311456	47.29377365	0.96880206	0.11902408884673817	0.00483257	0.0001
0.0187	-0.2505	0.0697	0.0023404865269243957	-0.00017802358370342162	0.0018622663118779497	0.98491055	45.52778244	0.95316188	0.08735702911834782	0.00488448	6e-05
0.0146	-0.155	0.0943	0.0022968532956245376	-0.0002583087292951608	0.0017523105690023068	1.01656306	46.99092865	0.96434874	0.13589370598836203	0.00528193	6e-05
0.018	-0.2868	0.0729	0.002319542575900464	-0.00021642082724729686	0.0018605209826259553	1.10384929	51.02576065	0.99657353	0.1652393797973719	0.00491393	0.00015
0.0169	-0.1342	0.0774	0.002239257430308725	-0.0001937315469713706	0.0018151424220741027	1.14539063	52.94601822	1.01183293	0.16561764932097586	0.00595057	7e-05
0.0178	-0.2398	0.0864	0.0022846359908605773	-0.000148352986419518	0.0018151424220741027	1.07525837	49.70413589	0.98151238	0.12003785605518524	0.00470692	6e-05
0.014	-0.0892	0.0712	0.0021589722847169856	-0.00015184364492350666	0.0016441001553786586	1.19846141	55.39923477	1.04513263	0.18460983156715124	0.00741297	7e-05
0.0099	-0.2092	0.0598	0.002061233846605303	-0.00014486232791552936	0.001593485607070823	1.04021728	48.0843544	0.96836236	0.14326671517137476	0.00460315	6e-05
0.0111	-0.2124	0.0383	0.0020245819323134223	-7.67944870877505e-05	0.0016074482410867775	0.88247138	40.79249954	0.90812379	0.03183411945678072	0.00517976	6e-05
0.0079	-0.0896	0.0651	0.001932079481957723	-9.250245035569947e-05	0.0015306537539990272	1.06276417	49.12659073	0.98132005	0.16205024503556992	0.00728256	8e-05
0.006	-0.236	0.0406	0.0020699604928652747	-0.00013962634015954637	0.0015132004614790836	1.12746978	52.11762238	1.00720253	0.18292290966156713	0.00524145	7e-05
0.0046	-0.0863	0.0516	0.001996656664281513	-0.00014486232791552936	0.0015219271077390555	1.130633	52.26384354	1.01073481	0.16646332312998585	0.00767565	8e-05
