trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0139111	0.0079
-0.0085	0.187	0.0284	0.00019896753472735358	-0.0002024581932313422	-0.00013788101090755203	1.2072854	58.96788788	1.0375729	0.2508653369433124	0.00854087	0.0027
-0.0109	0.0071	0.014	0.00040666171571467877	-0.0003211405823669566	-0.0003193952531149623	1.18868232	58.05924606	1.03948874	0.22209454061651748	0.0121908	0.0039
-0.0123	0.1738	0.0581	0.000460766922526503	-0.00035081117965086024	-0.0004206243497306334	1.18356693	57.80939484	1.02801705	0.22145024503556995	0.00796753	0.00225
0.0008	0.0846	-0.0744	-5.235987755982989e-05	-0.0002722713633111154	-0.00034906585039886593	1.19922507	58.57419205	1.08157358	0.26796125578789226	0.0145482	0.01131
-0.0057	0.1568	-0.0764	-0.00028274333882308137	-0.0005061454830783556	-0.0006702064327658224	1.00932848	49.2990036	0.98051483	0.1199699081698724	0.0125565	0.00874
-0.0063	0.2706	-0.0302	7.504915783575618e-05	-0.0007749261878854823	-0.0006562437987498679	1.05838656	51.69516373	0.98746825	0.19262679177409597	0.0105131	0.0046
-0.0067	0.2633	-0.0089	0.00030194196059501896	-0.0007661995416255106	-0.0006126105674500097	0.96073687	46.92562485	0.93361733	0.04296263401595466	0.00937068	0.00303
-0.019	0.2845	0.0519	-0.00018500490071139895	-0.0008325220532012951	-0.0005846852994181004	1.19379318	58.30887985	1.04176531	0.12335973204570556	0.0112352	0.0066
-0.0283	0.363	-0.0236	-0.0005759586531581287	-0.0008848819307611251	-0.0005113814708343385	1.42057407	69.38562012	1.18610643	0.18913087292951608	0.015689	0.01581
-0.0296	-0.0502	-0.0023	-0.0002565634000431664	-0.00102799892942466	-0.0006649704450098395	2.09006739	102.08592987	1.52023512	0.4666050612977	0.0140709	0.00527
-0.0328	0.1454	0.0087	-0.0002129301687433082	-0.0012409290981679683	-0.0007592182246175333	1.28330278	62.68083191	1.07407114	0.22734055898254305	0.00779498	0.00096
-0.0381	0.0498	-0.0026	-0.0007400196028455958	-0.001254891732183923	-0.0009232791743050004	1.12126422	54.76632309	1.00749516	0.1474556508902855	0.0111483	0.00288
-0.0327	0.1726	0.0131	-0.00012217304763960306	-0.001387536755335492	-0.0009773843811168245	1.14618659	55.98361206	1.02024548	0.1841298392584693	0.00724643	0.00058
-0.0329	0.1034	0.045	-9.250245035569947e-05	-0.0015079644737231008	-0.000926769832808989	1.01941335	49.7915802	0.96751435	0.11133564319896738	0.00696403	0.00048
-0.0345	0.2473	0.0274	-2.792526803190927e-05	-0.001614429558094755	-0.0010175269539126942	1.10256684	53.85308075	0.9951225	0.17618996938995743	0.00689006	0.00039
-0.0377	0.2403	0.0591	-0.00015533430342749534	-0.0017645278737662671	-0.0010978120995044332	0.91639167	44.759655	0.91150166	0.05978962483294183	0.0059815	0.0003
-0.0355	0.2805	0.034	-0.00015009831567151235	-0.001778490507782222	-0.0011135200627723821	0.92257559	45.06169891	0.91990951	0.06924532925199434	0.0068382	0.00043
-0.0405	0.3537	0.0607	-0.0003577924966588376	-0.0018622663118779497	-0.0010995574287564276	1.00620449	49.14641571	0.94848992	0.12017163095495036	0.00931811	0.0015
-0.0379	0.2387	0.0241	-0.00011170107212763708	-0.0018168877513260971	-0.001090830782496456	1.06908679	52.21780014	0.97604132	0.16920983156715125	0.00634426	0.00036
-0.0431	0.2133	0.076	-0.0003385938748868999	-0.0019390607989657003	-0.0011222467090323538	0.9501245	46.40727997	0.93225707	0.1015240888467382	0.0058285	0.00032
-0.0358	0.1433	0.0178	-0.00015009831567151235	-0.0018238690683340744	-0.0010960667702524388	0.99510992	48.60451889	0.94300306	0.1519933614313464	0.00679231	0.00046
-0.037	0.1659	0.0398	-0.00040666171571467877	-0.0019530234329816546	-0.0008726646259971648	1.00307894	48.99375153	0.95163692	0.076255995447301	0.00726885	0.00063
-0.0389	0.1454	0.0356	8.552113334772214e-05	-0.0019879300180215415	-0.0008307767239493009	0.99291301	48.49721527	0.94172094	0.05504886680750758	0.00577384	0.00025
-0.0377	0.0506	0.0576	-9.948376736367679e-05	-0.002015855286053451	-0.0008080874436733745	1.04013336	50.80361938	0.97102136	0.1297809724509617	0.00775719	0.00048
-0.039	0.2143	0.0677	3.316125578789226e-05	-0.002150245638457014	-0.0008168140899333463	1.16126132	56.71991348	1.01434	0.1888881010907552	0.00524747	0.00021
-0.0339	0.0563	0.0739	4.886921905584123e-05	-0.001998401993533507	-0.0007679448708775049	1.14363921	55.85919189	1.00853312	0.18012104136236484	0.0074361	0.00045
-0.0462	0.4038	0.0837	-9.948376736367679e-05	-0.002305579941884509	-0.0008447393579652555	1.75894427	85.9127655	1.30694094	0.39621627109291346	0.0112024	0.0018
-0.0371	0.1444	0.0365	0.00041713369122664475	-0.002087413785385218	-0.0007993607974134029	1.45735908	71.18232727	1.15141188	0.35470810878207326	0.00537169	0.0002
-0.046	0.2934	0.1056	0.0004921828490624009	-0.002314306588144481	-0.0008691739674931761	1.156075	56.46659851	1.00156061	0.2455877565337396	0.00596696	0.00018
-0.0414	0.167	0.0809	0.0006038839211900379	-0.0021991148575128553	-0.0008552113334772215	1.07232201	52.37581635	0.96740592	0.16774277183876085	0.00427854	0.00017
-0.0468	0.2438	0.1294	0.0004206243497306334	-0.00231779724664847	-0.0008569566627292158	0.96564049	47.16513443	0.92771098	0.14588436449235065	0.00462174	0.00015
-0.0399	0.1546	0.1054	0.0005113814708343385	-0.0021676989309769574	-0.0008063421144213803	0.95173377	46.48588181	0.9173529	0.13467349925415265	0.00428486	0.00016
-0.0429	0.1967	0.1334	0.0005393067388662478	-0.002230530784048753	-0.000778416846389471	0.89314985	43.62444687	0.89919673	0.07903411945678072	0.00439793	0.00022
-0.0334	0.1172	0.0659	0.000661479786505851	-0.0020734511513692635	-0.0006911503837897545	0.99771881	48.73194885	0.94030375	0.1748259571459405	0.00512797	0.00015
-0.038	0.1978	0.1177	0.0008168140899333463	-0.002239257430308725	-0.0006946410422937432	1.01542211	49.59663391	0.94433303	0.1532315620435473	0.0045374	0.00014
-0.0331	0.109	0.0751	0.00102799892942466	-0.002197369528260861	-0.0006579891280018621	1.01784408	49.7149353	0.94664808	0.15078623279155295	0.00489849	0.00018
-0.0445	0.2236	0.1362	0.0007906341511534313	-0.0024137903555081575	-0.0007382742735936014	1.06897926	52.2125473	0.97250335	0.2138035375555132	0.00458002	0.00016
-0.0369	0.108	0.0936	0.0011257373675363424	-0.002235766771804736	-0.0007120943348136865	1.05829954	51.69091415	0.9561263	0.19276533694331235	0.00498533	0.00019
-0.0418	0.2036	0.1383	0.0009721483933608416	-0.0024068090385001802	-0.000731292956585624	1.01397431	49.52592087	0.94510948	0.16239149313214413	0.00463843	0.00023
-0.0273	0.1186	-0.0165	0.001064650843716541	-0.0022863813201125715	-0.0006998770300497262	1.23436117	60.2903595	1.06516806	0.2665173047639603	0.00703609	0.0004
-0.0289	0.2413	0.0802	0.0013735741213195373	-0.0023003439541285265	-0.0005358160803622592	1.16762376	57.0306778	1.01353737	0.24534734306532088	0.00507152	0.00028
-0.0201	0.0973	0.0486	0.001626646862858715	-0.0022130774915288098	-0.0003944444109507184	1.11450815	54.4363327	0.98480072	0.20848554367752167	0.00566632	0.00023
-0.0288	0.1907	0.1166	0.001239183768915974	-0.002408554367752175	-0.0004939281783143952	1.06428754	51.98338699	0.97187477	0.2042211868764892	0.00486588	0.00016
-0.0217	0.1829	-0.0121	0.0009040805525330626	-0.002494075501099897	-0.0005375614096142535	1.16230559	56.7709198	1.03507515	0.16681287905152453	0.00661099	0.00039
-0.0256	0.2356	0.0701	0.0011763519158441782	-0.0026389378290154262	-0.0005515240436302081	1.07981849	52.74197006	0.98151778	0.16035481626212997	0.0050236	0.00023
-0.0231	0.1532	0.0369	0.001350884841043611	-0.002518510110627818	-0.0005148721293383271	0.99777806	48.73484039	0.94031061	0.1346806278939461	0.00483418	0.00021
-0.0294	0.2258	0.1051	0.0011676252695842063	-0.0026720990848033187	-0.0005044001538263612	1.01428115	49.54090881	0.94858682	0.1644660260573436	0.00447714	0.00024
-0.0274	0.1401	0.0959	0.001218239817892042	-0.002583087292951608	-0.00046949356878647465	0.99860549	48.77525711	0.93379067	0.10562664625997165	0.00446856	0.00017
-0.0301	0.1404	0.1338	0.000905825881785057	-0.0026808257310632897	-0.000450294947014537	0.96546328	47.15647888	0.93282059	0.06236754979953021	0.00488341	0.00019
-0.0291	0.1751	0.0604	0.001048942880448592	-0.0026022859147235454	-0.0005148721293383271	1.03259158	50.43524933	0.97134869	0.12341169986635347	0.00441843	0.00023
-0.0337	0.1829	0.1211	0.0012897983172238095	-0.002754129559647052	-0.0005427973973702365	1.00621271	49.14681625	0.94618408	0.09413121748653167	0.00468791	0.00018
-0.0286	0.1517	0.0922	0.0014852751934471744	-0.002659881780039358	-0.0005270894341022875	0.96033233	46.90586472	0.92398267	0.0804716309549504	0.00465173	0.00028
-0.0335	0.1904	0.1572	0.0013369222070276565	-0.0027611108766550296	-0.0005567600313861911	0.98138463	47.93413162	0.94183688	0.12256263401595464	0.00523162	0.00019
-0.032	0.1485	0.1345	0.0012775810124598492	-0.002698279023583233	-0.0005881759579220891	0.95570302	46.67975616	0.92266278	0.0737794487087751	0.00509357	0.00023
-0.0351	0.2148	0.1458	0.0010873401239924673	-0.002769837522915001	-0.0005358160803622592	1.06547034	52.04116058	0.96786683	0.09640796326794898	0.00596595	0.00034
-0.0378	0.2021	0.0962	0.0012950343049797925	-0.0027296949501191318	-0.0005602506898901797	1.06253231	51.89765549	0.97677191	0.07861356816555574	0.00457036	0.0003
-0.0395	0.0357	0.1291	0.0013596114873035826	-0.002790781473938933	-0.0005393067388662478	1.2647028	61.7723465	1.07525398	0.20833038285837613	0.00763583	0.00069
-0.0381	0.1693	0.1405	0.001514945790731078	-0.0028379053637427798	-0.0005375614096142535	1.11780179	54.59720612	0.99715654	0.15661017612416686	0.00468868	0.00032
-0.037	0.0858	0.1594	0.001186823891356144	-0.002769837522915001	-0.0005654866776461627	1.00634205	49.15313721	0.94868686	0.12470575041173108	0.00612187	0.00022
-0.039	0.163	0.1407	0.001270599695451872	-0.0028152160834668534	-0.0005969026041820607	0.99165791	48.43591309	0.94245201	0.1059285145591739	0.00492239	0.0003
-0.0407	0.1137	0.1798	0.0012007865253720988	-0.002893755899806598	-0.000614355896702004	0.97992063	47.86262512	0.9440991	0.09839031394697306	0.00604981	0.00034
-0.0288	0.2109	0.0565	0.0010873401239924673	-0.00266860842629933	-0.0005724679946541401	1.21968329	59.57344055	1.06697687	0.25142408884673817	0.00489229	0.00018
-0.0253	0.2062	0.1115	0.0012042771838760874	-0.0027296949501191318	-0.0004363323129985824	1.05510855	51.53505707	0.97551514	0.078907963267949	0.00511479	0.00029
-0.0282	0.1939	0.1276	0.0015079644737231008	-0.0026825710603152844	-0.0004747295565424576	0.95710558	46.7482605	0.92663214	0.05076042115973679	0.00463057	0.00025
-0.034	0.1576	0.1699	0.0012950343049797925	-0.0028710666195306722	-0.0005567600313861911	0.94020867	45.92295837	0.92435767	0.10857281014012148	0.00529248	0.00021
-0.0367	0.1294	0.1557	0.0013055062804917586	-0.0029059732045705585	-0.0005742133239061344	0.93126816	45.48627472	0.91571247	0.048241592653589765	0.00546241	0.00031
-0.0408	0.1169	0.1944	0.0010471975511965976	-0.0029775317039023265	-0.000593411945678072	0.96283942	47.02832031	0.93302919	0.0727532925199433	0.00670439	0.00057
-0.0365	0.1267	0.1741	0.0010681415022205296	-0.002848377339254746	-0.0005654866776461627	0.94016623	45.92088699	0.91848037	0.04330117918517109	0.00573474	0.00027
