trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0138491	0.02082
0.001	-0.0216	0.0041	-6.9813170079773176e-06	-6.45771823237902e-05	1.7453292519943296e-05	1.02288556	40.67763138	0.99459835	0.031150589592585542	0.0131536	0.01289
0.0009	0.0165	0.0203	-6.45771823237902e-05	-6.108652381980153e-05	0.0001291543646475804	0.99907565	39.73077011	0.98407609	0.06303937979737194	0.0126269	0.01109
0.0015	-0.0055	0.0257	0.00035081117965086024	3.839724354387525e-05	0.00018675022996339323	1.03618586	41.2065506	1.00268883	0.05662339973270701	0.012395	0.00644
0.0034	-0.0242	0.0455	0.0005131268000863328	0.0002199114857512855	0.00041538836197465044	1.04945719	41.73431778	1.00762429	0.06902339973270699	0.0108933	0.00304
0.0105	-0.0175	0.05	0.0001832595714594046	0.0004380776422505767	0.000726056968829641	1.04538989	41.5725708	1.00420356	0.0612350995990605	0.0102932	0.00278
0.0081	-0.0291	0.0355	0.00027750735106709843	0.00035081117965086024	0.0006544984694978735	1.01757312	40.46636963	0.97934944	0.0411536370769589	0.0106879	0.00335
0.0076	-0.0022	0.0605	0.00034906585039886593	0.0006963863715457374	0.0008185594191853405	1.06582844	42.38536453	1.01745017	0.08145973204570559	0.0105776	0.00244
0.0105	-0.0345	0.1373	0.0007679448708775049	0.001117010721276371	0.0010419615634406148	1.1713047	46.5798912	1.12065398	0.16514527572322735	0.00844026	0.00129
0.0149	-0.113	0.139	0.000905825881785057	0.000635299847725936	0.0010349802464326373	1.05940175	42.12979126	1.02947689	0.11592866007329825	0.00771773	0.0013
0.0209	-0.1589	0.1218	0.000783652834145454	0.00040666171571467877	0.0009162978572970229	1.15990365	46.12649918	1.03807305	0.09257467843932377	0.00851047	0.00248
0.0212	-0.0707	0.1143	0.0007190756518216638	0.0007470009198535729	0.0011135200627723821	1.1647867	46.32069016	1.06697523	0.1261069295969022	0.00827545	0.00104
0.018	-0.1022	0.1088	0.0010838494654884787	0.0008552113334772215	0.0011239920382843482	1.0717591	42.62121201	1.01763192	0.06437281014012149	0.00858665	0.00106
0.02	-0.0308	0.0944	0.0009407324668249436	0.000778416846389471	0.0012426744274199627	1.10649014	44.00238037	1.04877483	0.10472969374434497	0.00854158	0.00102
0.0188	-0.0792	0.1023	0.0009721483933608416	0.0007382742735936014	0.0011780972450961724	1.03988385	41.35361099	1.00049725	0.0643067840827779	0.00802118	0.00061
0.0219	-0.0586	0.1165	0.0007504915783575615	0.0008115781021773631	0.001335176877775662	1.03489888	41.15537262	0.99523781	0.06050201381332657	0.00776607	0.00061
0.021	-0.1005	0.1162	0.0007853981633974483	0.000895353906273091	0.0013334315485236678	1.05914187	42.11945343	1.02238367	0.04912138591938046	0.0080083	0.00084
0.0204	-0.0832	0.1056	0.0007417649320975902	0.0008203047484373349	0.001424188669627373	1.05025947	41.76622391	1.01030764	0.03897197551196597	0.00784808	0.00086
0.0221	-0.0881	0.1131	0.0005969026041820607	0.0007243116395776468	0.0014940018397071458	1.03524554	41.16915512	0.99398162	0.029633430342749532	0.00762594	0.00086
0.0208	-0.0958	0.1267	0.0004415683007545654	0.0005899212871740833	0.0015079644737231008	1.01992774	40.56000519	0.98641618	0.03778436449235068	0.00699955	0.00052
0.0214	-0.074	0.1315	0.0002495820830351891	0.0006213372137099814	0.0014957471689591403	1.01441646	40.34083557	0.9873978	0.03898097245096174	0.00679737	0.00048
0.0199	-0.1088	0.1403	0.0002478367537831948	0.000661479786505851	0.0014940018397071458	1.01003361	40.16653824	0.98232746	0.04728166156499292	0.00663626	0.00041
0.0232	-0.0508	0.1352	7.330382858376184e-05	0.0005724679946541401	0.0014643312424232424	1.06376624	42.30335617	1.01550394	0.08106076571675237	0.00623494	0.00044
0.0231	-0.0976	0.1289	0.0005183627878423159	0.0005445427266222308	0.0014940018397071458	1.04620528	41.60499954	1.00739579	0.07833274122871833	0.00625563	0.00033
0.022	-0.067	0.129	0.0001239183768915974	0.0004956735075663896	0.001541125729510993	1.02440894	40.73821259	0.98529371	0.05632187599052036	0.00624919	0.00037
0.02	-0.0652	0.131	0.0002600540585471551	0.0005602506898901797	0.001556833692778942	1.01452661	40.34521484	0.97526178	0.016621041362364843	0.00631982	0.00041
0.0208	-0.0761	0.1436	0.0003054326190990077	0.00037350045992678646	0.001595230936322817	1.00651264	40.02651978	0.97762856	0.03782630170295605	0.00553727	0.0003
0.0197	-0.052	0.1454	0.00011170107212763708	0.0005550147021341969	0.001553343034274953	1.00133598	39.82065582	0.9784066	0.04785668456133225	0.00602669	0.0003
0.0191	-0.0942	0.1263	0.00034557519189487725	0.00039793506945470715	0.001514945790731078	1.02189827	40.63837051	0.99609237	0.08336754979953025	0.00592202	0.00025
0.0199	-0.0667	0.1172	0.0004206243497306334	0.00034208453339088857	0.001509709802975095	1.01513278	40.36932373	0.98516392	0.0442067840827779	0.00583827	0.00023
0.0196	-0.0873	0.1194	0.0004433136300065597	0.0003647738136668148	0.0014957471689591403	1.01162565	40.22985077	0.98212692	0.026067059728390372	0.00588721	0.00026
0.0212	-0.0708	0.1238	0.0005794493116621174	0.00035604716740684323	0.0015777776438028737	1.01968908	40.55051422	0.97711301	0.03384464013796313	0.00594115	0.00032
0.0236	-0.0749	0.127	0.000635299847725936	0.00030368728984701333	0.0016929693744344998	1.03666544	41.22562027	0.98971871	0.02087010721276373	0.0057528	0.00026
0.0238	-0.0649	0.1247	0.0004921828490624009	0.0003577924966588376	0.001726130630222392	1.01390445	40.32047653	0.98310836	0.024019173063162574	0.00562835	0.00032
0.0223	-0.0889	0.1294	0.0005427973973702365	0.000322885911618951	0.001778490507782222	0.98273963	39.08112717	0.97075819	0.0370940505453776	0.00534797	0.00022
0.0263	-0.0559	0.1295	0.00027750735106709843	0.0002129301687433082	0.0016807520696705393	1.02398992	40.72154999	0.99283026	0.060749211364523194	0.00584316	0.0003
0.0302	-0.0893	0.1294	0.0003961897402027128	-1.7453292519943294e-06	0.0018133970928221085	1.02336287	40.69661331	0.98972609	0.06070014551412433	0.00505006	0.00028
0.0279	-0.0743	0.1284	0.0006859143960337716	4.0142572795869576e-05	0.0018709929581379211	1.01894474	40.52091217	0.98260747	0.03776042115973677	0.00538421	0.00025
