trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0561337	0.04202
-0.0892	-0.029	0.0017	-0.0022183134792847924	-0.0013055062804917586	-0.0014137166941154068	1.51286578	81.7664566	1.35206855	0.3667768226945978	0.0650789	0.06373
-0.0163	0.1353	0.0062	-0.0015987215948268059	-0.0006911503837897545	-0.00015707963267948963	1.50837302	81.52363586	1.35981933	0.36622924212979546	0.0509008	0.03199
-0.0143	-0.0584	0.0111	-0.0015306537539990272	-0.0007976154681614085	-8.552113334772214e-05	1.13797855	61.50477982	1.04199381	0.21290457122656	0.0590076	0.04041
-0.0193	0.0292	0.0199	-0.0012775810124598492	-0.0008517206749732328	-4.537856055185256e-05	0.86468047	46.73373032	0.88880663	0.11876602605734358	0.0547981	0.03577
-0.0244	-0.071	0.0353	-0.001054178868204575	-0.0008621926504851988	-1.3962634015954635e-05	0.8986671	48.57061768	0.9141257	0.1339645023151569	0.0614296	0.04359
-0.0247	0.0113	0.041	-0.0011205013797803594	-0.0008639379797371932	2.094395102393195e-05	0.83592272	45.17944717	0.87588162	0.09344872129338326	0.0580207	0.03914
-0.0235	0.0177	0.0572	-0.0011257373675363424	-0.000757472895365539	9.075712110370512e-05	0.77312112	41.78518295	0.84540008	0.03287571211037053	0.0587617	0.04067
-0.0242	-0.0222	0.0478	-0.0012217304763960308	-0.0007644542123735164	6.45771823237902e-05	0.77719343	42.00528336	0.84833787	0.05645771823237904	0.0604336	0.04265
-0.0237	0.0799	0.0503	-0.0012130038301360591	-0.0007382742735936014	0.0001239183768915974	0.86150211	46.56194687	0.88549309	0.10981238898038467	0.055777	0.03761
-0.0243	-0.0329	0.0476	-0.0012374384396639797	-0.000731292956585624	0.00013264502315156904	0.89146054	48.18112183	0.90294439	0.11810712863979347	0.061209	0.04394
-0.025	0.0686	0.0488	-0.0011676252695842063	-0.0007609635538695277	0.00011344640137963142	0.88676184	47.9271698	0.90095887	0.10933411945678072	0.0563082	0.03741
-0.0271	-0.0306	0.054	-0.0011449359893082802	-0.000736528944341607	7.853981633974481e-05	0.88775522	47.98085785	0.90119244	0.11060152374218668	0.0619628	0.044
-0.0276	0.0484	0.0643	-0.0012793263417118436	-0.0007539822368615504	9.075712110370512e-05	0.86664057	46.83966827	0.89443763	0.09800304748437334	0.0583725	0.04034
-0.0278	-0.079	0.0652	-0.0012531464029319286	-0.0007644542123735164	0.00015533430342749534	0.96138948	51.96059799	0.94990866	0.13356145483078355	0.0652595	0.04972
-0.0271	0.1362	-0.0094	0.0010053096491487337	-0.0020751964806212577	0.00017976891295541595	1.50481796	81.33149719	1.3010007	0.4701816464928162	0.0470083	0.02602
-0.0164	-0.069	-0.0833	3.141592653589793e-05	-0.0027331856086231197	0.0006387905062299246	1.30045235	70.28606415	1.12831745	0.3943452221944602	0.0481685	0.0259
-0.015	0.0007	-0.0629	2.96705972839036e-05	-0.0029722957161463434	0.0009546951008408983	0.93893224	50.74684525	0.91993983	0.11933800156930958	0.0454451	0.0223
0.0151	-0.1311	-0.0707	-0.001452113937659282	-0.002314306588144481	0.0017296212887263805	1.58143735	85.47257233	1.43147849	0.31543499254152646	0.053845	0.03621
0.0008	-0.1321	-0.0384	-0.000973893722612836	-0.0030543261909900766	0.001181587903600161	1.54229772	83.35717773	1.50048468	0.13591366015091305	0.0561445	0.03682
0.0129	-0.0141	-0.0639	0.0004921828490624009	-0.0015376350710070042	0.0020751964806212577	1.53504753	82.9653244	1.28844758	0.3494188134339703	0.0449726	0.01686
0.0352	0.1446	-0.0369	-0.0003351032163829112	-0.0011990411961201044	0.002581341963699613	1.22930133	66.4405365	1.07987759	0.2916012711705284	0.0392238	0.01047
0.0329	0.2453	-0.0226	2.792526803190927e-05	-0.0014940018397071458	0.002366666465704311	1.04500508	56.47980499	1.00263099	0.1609332312998582	0.0383584	0.01255
