trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0199244	0.01256
0.0016	0.0087	-0.0016	-0.00016406094968746698	4.71238898038469e-05	5.235987755982988e-06	0.79630864	39.10633469	0.86973511	0.022721041362364844	0.0195435	0.00922
0.0008	0.0326	-0.0092	0.0001972222054753592	8.37758040957278e-05	-3.490658503988659e-05	0.88125598	43.2780571	0.90546472	0.05420388211252882	0.0175791	0.00724
0.0175	0.166	-0.0492	0.0004921828490624009	-0.0005270894341022875	-8.726646259971648e-05	1.23027349	60.41814041	1.08568877	0.23800928796724435	0.0148249	0.00637
0.0378	-0.0556	-0.0535	-0.0007382742735936014	-0.0011187560505283654	7.155849933176751e-05	1.38476169	68.00498199	1.13577184	0.3452474350506782	0.0176537	0.00728
0.0378	0.0075	-0.0384	-0.0014835298641951804	-0.00015009831567151235	0.000598647933434055	1.0002414	49.12137222	0.97233348	0.190250137978036	0.0180525	0.00723
0.0373	0.0779	-0.0429	0.0007068583470577034	-8.901179185171081e-05	0.001158898623324235	1.17179561	57.54631805	1.05196486	0.2159862712481433	0.0115007	0.00139
0.0385	0.1404	-0.0473	0.0007382742735936014	-0.0006038839211900379	0.0010157816246606998	1.07477427	52.78164673	1.03314054	0.102570252726888	0.0122484	0.00172
0.0071	-0.0919	-0.0431	-0.0005113814708343385	-0.0011274826967883368	0.00023387411976724014	1.53028119	75.15137482	1.22898129	0.3956581012459849	0.0191353	0.0102
0.0222	0.094	-0.0667	0.00019896753472735358	-0.0015027284859671175	-0.0003106686068549907	1.44045055	70.73983765	1.16038604	0.30610687606813525	0.0154834	0.00808
0.0381	0.1223	-0.0538	-0.0014556045961632708	-0.0007120943348136865	0.0007068583470577034	1.19929087	58.89659882	1.08227802	0.23023666179783747	0.0169021	0.00871
0.0315	0.2221	-0.0418	-0.0005515240436302081	-0.0008360127117052838	0.0007155849933176752	1.10833716	54.42990494	1.01749125	0.1702362787842316	0.0154081	0.00777
0.0196	0.0594	-0.0302	0.0003787364476827695	-5.235987755982988e-06	0.0006841690667817771	1.27890384	62.80635452	1.11115168	0.2758226570899088	0.013706	0.00215
0.0291	0.0564	-0.0357	0.0002303834612632515	-0.0010314895879286487	0.0005148721293383271	0.94482523	46.39991379	0.93803617	0.08519517620178169	0.0140913	0.00229
0.0335	0.141	-0.0478	0.0009599310885968812	-0.0009599310885968812	0.00048520153205442357	1.16584289	57.25398254	1.06651369	0.142638836197465	0.0120354	0.0028
0.0347	-0.0822	-0.0229	0.0010314895879286487	-0.0004572762640225143	0.001572541656046891	1.51401663	74.35263062	1.26259083	0.3323776723949301	0.0132127	0.00155
0.0172	-0.0247	-0.0268	0.0005358160803622592	-0.0003647738136668148	0.0008569566627292158	1.00816369	49.51043701	0.97095192	0.14408804756198823	0.0138941	0.00242
0.061	0.1681	-0.1352	-0.00024609142453120044	-0.0008517206749732328	0.0014329153158873448	1.45694447	71.54984283	1.19636966	0.4372406509679003	0.011674	0.00257
0.0603	0.2959	-0.1104	0.0012897983172238095	-6.806784082777885e-05	0.00233001455141243	1.30256796	63.96848679	1.11161118	0.31413209057127744	0.0123532	0.00278
0.0273	0.1918	-0.171	0.004181808887778414	0.0010000736613927507	0.0018291050560900572	1.72395766	84.66273499	1.34615059	0.4207530784048753	0.0134825	0.00755
0.0087	-0.0863	-0.0987	0.006771877497737999	-0.00011344640137963142	0.0016283921921107093	2.05322623	100.83295441	1.53610525	0.5642150768355657	0.0170914	0.01845
0.0151	0.0743	-0.0796	0.007089527421600967	-0.0006527531402458793	0.0019093902016817967	1.57016635	77.11011505	1.28719946	0.24299773361501517	0.0127302	0.00559
