trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0157419	0.00131
0.0008	-0.0543	-0.0095	-0.00024085543677521747	-5.93411945678072e-05	-8.552113334772214e-05	0.92724645	42.58957291	0.94702494	0.08388588823453734	0.0157394	0.0004
0.0019	0.0255	-0.0054	-0.00017627825445142725	-2.6179938779914945e-05	-6.632251157578452e-05	0.95937699	44.06536865	0.95882454	0.090846852994181	0.016408	0.00041
-0.0048	-0.0951	-0.0025	0.00010471975511965978	-0.00032463124087094524	-0.0003647738136668148	1.1532619	52.97074127	1.04398766	0.17409503068765736	0.015146	0.00061
-0.0718	-0.0544	0.088	-0.005016076270231703	-0.0007644542123735164	-0.0035744343080843866	2.49935985	114.79868317	2.09816291	0.6367139745635753	0.0369018	0.0382
-0.0264	-0.0243	-0.0027	-0.0009285151620609833	-0.0005480333851262194	-0.001256637061435917	2.40297079	110.37141418	2.04881055	0.4972889591033242	0.0182597	0.00283
-0.0343	0.0524	0.0779	-0.0006213372137099814	-0.0008691739674931761	-0.0011955505376161158	1.31142628	60.23542404	1.21117285	0.199670252726888	0.0154225	0.00281
-0.0339	-0.1166	0.102	-0.0007801621756414653	-0.0007278022980816354	-0.0009302604913129776	1.25411761	57.60316849	1.123063	0.22177433388230816	0.0149591	0.0022
-0.0341	-0.0329	0.1028	-0.0008709192967451704	-0.0007086036763096977	-0.000947713783832921	0.95668405	43.94167709	0.96004058	0.09107045176977929	0.0143599	0.00277
-0.038	-0.1147	0.1219	-0.000609119908946021	-0.0006213372137099814	-0.0009145525280450286	0.938348	43.09947968	0.94916896	0.1239113553093379	0.0135555	0.00266
-0.0386	-0.0983	0.1165	-0.0006021385919380437	-0.0006510078109938849	-0.0009354964790689606	0.82476825	37.88262177	0.88973403	0.025279793265790624	0.0135175	0.00248
-0.0394	-0.1177	0.129	-0.0007906341511534313	-0.0007435102613495844	-0.0009389871375729493	0.83519346	38.36146545	0.89940488	0.046924433403753775	0.0147297	0.00302
-0.0391	-0.1154	0.1312	-0.000853466004225227	-0.000804596785169386	-0.0009651670763528643	0.82644922	37.95983124	0.89453178	0.012304915783575615	0.0162628	0.00312
-0.0396	-0.0969	0.1433	-0.0008098327729253688	-0.0008290313946973065	-0.000921533845053006	0.83524621	38.36388779	0.89642308	0.03668505360638186	0.0159329	0.0033
-0.0407	-0.1409	0.1373	-0.0008587019919812101	-0.000874409955249159	-0.0009512044423369096	0.85783762	39.40153885	0.90530558	0.057295918844579866	0.0161706	0.00357
-0.0437	-0.0777	0.1543	-0.000439822971502571	-0.0009756390518648303	-0.0010838494654884787	0.92088658	42.29745483	0.94228339	0.11583765701229395	0.0134611	0.00308
-0.0432	-0.1695	0.1434	-0.0005410520681182421	-0.0009546951008408983	-0.0010838494654884787	0.94771922	43.52991104	0.94917114	0.10930865238198016	0.0144191	0.00308
-0.0412	-0.0663	0.1421	-0.0008115781021773631	-0.0008988445647770796	-0.0009616764178488756	1.02462566	47.06231689	0.99021892	0.1289274808881271	0.0140508	0.00359
-0.0295	-0.0986	0.065	-0.0023771384412162766	-0.0008185594191853405	-0.0006632251157578452	1.05831075	48.60951614	1.03352367	0.21831483933608412	0.0185229	0.00476
-0.0254	0.0084	0.0589	-0.0019216075064457567	-0.0014451326206513049	-0.0011327186845443199	1.04841542	48.15501022	1.0227108	0.19477988525114795	0.0174865	0.00406
-0.0308	-0.0564	0.081	-0.0015254177662430443	-0.0013072516097437528	-0.0011955505376161158	0.9397862	43.16553879	0.96651212	0.122145130209103	0.0156705	0.00334
-0.0232	-0.0673	0.0502	-0.002708750999095199	-0.0010402162341886204	-0.0008360127117052838	0.97671717	44.86182404	0.98789616	0.13979532171590597	0.0198224	0.0056
-0.0309	-0.0999	0.0931	-0.0019844393595175526	-0.001155407964820246	-0.0008883725892651138	0.96770865	44.44805145	0.98522636	0.12779316238845512	0.0174828	0.00492
-0.0326	-0.1256	0.1076	-0.001520181778487061	-0.0012601277199399059	-0.0009983283321407565	0.89647049	41.17599487	0.92994525	0.07584665395128969	0.0168135	0.00432
-0.0362	-0.0934	0.1374	-0.0010524335389525807	-0.0013578661580515882	-0.001059414855960558	0.93748182	43.0596962	0.95120138	0.09692866007329817	0.0155598	0.00396
-0.036	-0.1059	0.1355	-0.0009965830028887623	-0.0014311699866353504	-0.0010262536001726657	0.88129425	40.47893143	0.92108988	0.022715781021773632	0.0157436	0.00383
-0.0365	-0.0988	0.1624	-0.0006894050545377602	-0.0014660765716752368	-0.0010245082709206715	0.88133919	40.48099518	0.9170032	0.05169149313214411	0.0149965	0.0036
-0.0358	-0.062	0.1649	-0.0006771877497737998	-0.0015289084247470327	-0.0010576695267085637	0.86238426	39.61037064	0.91394772	0.045410520681182426	0.0145109	0.00396
-0.0399	-0.1424	0.1771	-0.00041538836197465044	-0.001609193570338772	-0.001117010721276371	0.93677115	43.02705383	0.94677627	0.1167712863979348	0.0145596	0.00361
-0.0445	-0.1291	0.1901	-1.9198621771937625e-05	-0.001778490507782222	-0.0011519173063162574	0.88479692	40.63981247	0.92319251	0.06091966313430246	0.0136507	0.00334
-0.0487	-0.2063	0.2042	0.0002652900463031381	-0.001837831702350029	-0.0013055062804917586	0.95947093	44.06968307	0.95406544	0.12037094184091925	0.0145491	0.00327
-0.0531	-0.2057	0.2248	0.000593411945678072	-0.0019669860669976093	-0.0013753194505715315	0.87153703	40.03076935	0.9111551	0.051954471705114365	0.0149191	0.00369
-0.059	-0.2921	0.2559	0.0011030480872604163	-0.0021205750411731105	-0.0014486232791552935	1.01437092	46.59130478	0.98227451	0.1602264472170804	0.0175388	0.00447
-0.0606	-0.2093	0.2682	0.0011222467090323538	-0.002230530784048753	-0.0013631021458075715	0.9651711	44.33149719	0.96032624	0.1074337748997651	0.0150951	0.00405
-0.0579	-0.2744	0.2334	0.00019024088846738194	-0.0016999506914424768	-0.0013177235852557187	0.98719662	45.34315872	0.98028379	0.177998223686155	0.0166295	0.00566
-0.0566	-0.1726	0.229	-3.839724354387525e-05	-0.0018238690683340744	-0.001281071670963838	1.03789127	47.67162704	1.00547343	0.12696042115973674	0.0137579	0.00474
-0.0627	-0.2818	0.2636	-0.00017976891295541595	-0.0018291050560900572	-0.0013334315485236678	1.05987787	48.68149567	1.01995146	0.15984837673636765	0.0185362	0.0085
-0.0466	-0.1518	0.1581	0.0002303834612632515	-0.0017767451785302276	-0.0012723450247038664	1.3165462	60.47058868	1.17391495	0.27777993877991497	0.0130122	0.00252
-0.0611	-0.2411	0.2089	-0.00017278759594743863	-0.001853539665617978	-0.0011990411961201044	1.17142284	53.80489349	1.09777749	0.18226346864411008	0.0155334	0.00561
-0.0627	-0.1384	0.2186	-0.00010471975511965978	-0.0018186330805780916	-0.0011850785621041497	1.07843387	49.5337944	1.02708915	0.119846852994181	0.0141677	0.00509
-0.0616	-0.1812	0.2212	0.0003944444109507184	-0.0018657569703819383	-0.0012217304763960308	0.95087165	43.67470551	0.9514352	0.07564699850830532	0.0130551	0.00401
-0.0604	-0.2358	0.2073	0.00011170107212763708	-0.0017749998492782332	-0.0011746065865921838	0.95247835	43.74850464	0.95306384	0.09073121748653168	0.014915	0.00438
-0.0604	-0.1521	0.2168	3.4906585039886588e-06	-0.0017296212887263805	-0.0010611601852125523	0.98574483	45.276474	0.96688819	0.1065517687777566	0.0134827	0.00452
-0.0615	-0.2604	0.2161	-2.6179938779914945e-05	-0.0016929693744344998	-0.0010419615634406148	1.00694835	46.25037766	0.97727976	0.11437605666738608	0.0156484	0.00491
-0.041	-0.1171	0.1534	-0.0004049163864626844	-0.0015254177662430443	-0.0008866272600131194	1.29782474	59.61068726	1.1563737	0.26158111796508604	0.0138523	0.00339
-0.0273	-0.1198	0.0668	-0.0010140362954087054	-0.001956514091485643	-0.0013805554383275148	1.41012442	64.76875305	1.29152342	0.1797072206251508	0.0150044	0.00272
