trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0167412	0.02768
-0.0098	0.0724	0.0458	-0.00014311699866353502	0.00013788101090755203	-0.00022165681500327985	1.0872308	51.85868835	1.00463395	0.1531327412287183	0.0198441	0.03014
-0.0204	0.0896	0.03	-0.0001012290966156711	0.00047822021504644627	-0.0003874630939427412	1.0223453	48.76378632	0.97474481	0.07100166925631098	0.0227603	0.03557
-0.0669	-0.3279	0.0948	0.0016650441064025902	-0.000577703982410123	-0.001308996938995747	2.67137313	127.41905212	1.76618783	0.7159865622763919	0.0230367	0.02417
-0.0674	-0.5841	0.0491	0.0016301375213627037	-0.0009616764178488756	-0.0013526301702956054	1.85595548	88.52529144	1.3822059	0.3255256125889249	0.0280461	0.03227
-0.0347	-0.6486	0.0149	0.002883283924294633	-0.0011746065865921838	-0.0006736970912698113	1.30263746	62.13315201	1.15443454	0.2386504825350516	0.0285593	0.02959
-0.0327	-0.5848	0.0006	0.003687880709464018	-0.0019861846887695473	-0.00041015237421866745	1.23773062	59.03722763	1.12614647	0.1740859802198946	0.0231192	0.01819
-0.0298	-0.3366	0.0128	0.0036721727461960694	-0.0019792033717615696	-0.0004433136300065597	1.41345799	67.41905975	1.16392175	0.2660925268031909	0.0101502	0.00231
-0.0372	-0.1906	-0.0141	0.004002039974822997	-0.0020245819323134223	-0.0004991641660703782	1.13884866	54.320755	0.99559432	0.20185481626212995	0.007617	0.00089
-0.0453	-0.0655	-0.0363	0.003602359576116296	-0.0018622663118779497	-0.0005864306286700947	1.10908651	52.90116501	1.00342534	0.1878631240870945	0.00871974	0.00091
-0.0407	-0.0165	-0.0375	0.003321361566545209	-0.002054252529597326	-0.0005044001538263612	1.00339365	47.85983276	0.95402994	0.08255073510670985	0.00992715	0.00115
-0.0471	-0.0265	-0.0375	0.0035081117965086025	-0.002141518992197042	-0.0004799655442984406	1.03198528	49.22359467	0.96429315	0.031322565104551524	0.00887883	0.00113
-0.0476	-0.0711	0.0216	0.003518583772020568	-0.002131047016685076	-0.0006859143960337716	1.06806588	50.94456482	0.97716716	0.11554464013796314	0.00806874	0.00071
-0.0644	-0.0558	0.0243	0.0037891098060796892	-0.0017191493132144146	-0.0010088003076527223	0.98261791	46.86886978	0.96233227	0.08506548245743666	0.0105307	0.00086
-0.064	-0.3578	-0.0204	0.0032463124087094525	-0.002118829711921116	-0.0009913470151327792	1.64814031	78.6129303	1.24677391	0.3950965544298441	0.00936562	0.00057
-0.0587	-0.563	-0.024	0.003635520831904189	-0.0023998277214922034	-0.0008726646259971648	1.35126626	64.45264435	1.14426406	0.25354444109507185	0.0194649	0.00507
-0.054	-0.4549	-0.0108	0.003626794185644217	-0.002570869988187647	-0.0006998770300497262	1.0609628	50.60576248	0.97545935	0.1436278254451426	0.0133902	0.00106
-0.0548	-0.3083	-0.0057	0.003373721444105039	-0.0024731315500759648	-0.0006597344572538566	1.09526849	52.24207306	0.97926785	0.17204768762233652	0.00754404	0.00028
-0.0508	-0.1806	-0.0115	0.0032166418114255493	-0.002436479635784084	-0.0005724679946541401	1.02403629	48.84444427	0.95298372	0.15154990047855435	0.00529182	0.00021
-0.0492	-0.0724	-0.0286	0.0029949849964222694	-0.0024870941840919192	-0.0005410520681182421	1.00429654	47.90289688	0.95025034	0.14208436449235068	0.00602442	0.00028
-0.0566	0.0546	0.0099	0.003321361566545209	-0.002310815929640492	-0.0009913470151327792	1.12853658	53.82889175	1.02143359	0.2205474885794452	0.011914	0.00144
-0.0628	0.1048	-0.0161	0.0035203291012725624	-0.002155481626212997	-0.00119729586686811	1.03246093	49.24628067	0.9899822	0.11041253449450895	0.0177152	0.0045
-0.0647	-0.1839	-0.0433	0.0036425021489121657	-0.002309070600388498	-0.001129228026040331	1.62163937	77.34889221	1.26684065	0.3349914931321441	0.00713021	0.00053
-0.0575	-0.3385	-0.0207	0.003675663404700058	-0.0025481807079117207	-0.0009965830028887623	1.24162328	59.22289658	1.06073446	0.20464581932313416	0.0084306	0.00044
-0.0542	-0.3132	-0.0122	0.003563962332572421	-0.0026563911215353696	-0.0007714355293814937	0.96158332	45.86556244	0.92513288	0.059352947962927775	0.00740558	0.00024
-0.0574	-0.2652	0.0219	0.0035517450278084606	-0.0025778513051956248	-0.0008709192967451704	0.97245061	46.38391113	0.93604277	0.09481204442336909	0.00678021	0.00029
-0.0628	-0.1738	0.0027	0.003677408733952052	-0.0024434609527920616	-0.0009162978572970229	1.00831366	48.09450531	0.96308708	0.1312716309549503	0.00580972	0.00028
-0.0567	-0.325	-0.0223	0.0034033920413889425	-0.002553416695667704	-0.0007976154681614085	1.16359603	55.50115967	1.01221868	0.20743274122871827	0.0073806	0.00027
-0.0507	-0.2696	-0.0282	0.003371976114853045	-0.0026790804018112955	-0.0006702064327658224	1.01109576	48.22720718	0.93522689	0.08152443340375375	0.00647992	0.00038
-0.048	-0.1725	-0.0335	0.003186971214141646	-0.0026581364507873638	-0.0006003932626860494	1.04390132	49.79196167	0.95624318	0.1188881010907552	0.00553006	0.00031
-0.0477	-0.1051	-0.0305	0.003375466773357033	-0.0026563911215353696	-0.0005410520681182421	1.02219903	48.75680923	0.93845727	0.08317910415175941	0.00598931	0.00036
-0.0457	-0.0702	-0.023	0.00326551103048139	-0.002584832622203602	-0.0004520402762665313	0.9516741	45.39291382	0.91246138	0.057926301702956075	0.00624716	0.00027
-0.0561	0.0027	0.0266	0.0034068826998929313	-0.0023753931119642824	-0.0007452555906015787	1.04798043	49.98652649	0.97881391	0.16510132469929542	0.0100985	0.00061
-0.0588	-0.0243	-0.0018	0.004509930787153347	-0.00204378055408536	-0.0008464846872172499	1.01826334	48.56908417	0.98554475	0.13489448708775048	0.0129912	0.00346
-0.0607	-0.301	0.0069	0.0038903389026953604	-0.002261946710584651	-0.0007557275661135446	1.59184003	75.92752075	1.21805472	0.3337257581030492	0.00868976	0.00074
-0.0558	-0.5716	-0.0007	0.004412192349041665	-0.002623229865747477	-0.0006161012259539982	1.59633422	76.14188385	1.27320879	0.33423814708343386	0.0188385	0.00534
