trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0209212	0.00303
0.0043	-0.0061	0.0062	0.00017104226669544429	-4.537856055185256e-05	0.00010297442586766544	0.89590985	44.5175705	0.90317078	0.03256976265574812	0.0213665	0.00277
0.0094	0.0851	0.0154	0.0003106686068549907	-0.0001064650843716541	0.000148352986419518	0.93864655	46.64114761	0.90649557	0.11780457122656	0.019205	0.00106
0.008	0.1818	0.0111	0.00029321531433504735	-0.00018151424220741024	0.00016929693744344995	0.9587701	47.64108276	0.91257659	0.10807232006898156	0.0178648	0.00038
-0.0051	0.2631	0.0482	0.00035081117965086024	-0.00012740903539558605	-0.00017627825445142725	0.9446975	46.94181824	0.90544949	0.15436381320112572	0.0164025	0.00039
0.0001	0.255	0.0141	0.0004939281783143952	-0.00015707963267948963	-3.141592653589793e-05	0.89766335	44.604702	0.89545854	0.0632824961931484	0.016825	0.00035
0.003	0.2058	-0.0029	0.0005044001538263612	-0.00018675022996339323	0.00010471975511965978	0.88114494	43.78390503	0.88174106	0.07791391272257137	0.0167223	0.00038
-0.0141	0.2831	0.0349	0.001155407964820246	-0.0001884955592153876	-0.0003647738136668148	1.0106703	50.21999359	0.94126456	0.18831233545161769	0.0160724	0.00042
-0.0357	0.2793	0.0585	0.0022724186860966175	-0.00017453292519943296	-0.0005480333851262194	1.06558502	52.94869232	0.96684172	0.11471164633758656	0.0183791	0.00128
-0.0208	-0.0421	0.0115	0.002408554367752175	-0.0002513274122871834	-0.00033335788713091696	1.71209157	85.07347107	1.27652987	0.40468028333693046	0.0198857	0.00282
-0.0197	-0.2085	-0.0178	0.0021467549799530253	-0.0003769911184307752	-0.0002530727415391778	1.24986446	62.10549927	1.09035392	0.220187411976724	0.0286679	0.0109
-0.0165	-0.0574	-0.0196	0.0020717058221172693	-0.0004677482395344803	-0.0001308996938995747	1.06813526	53.07541275	0.96996525	0.1704989663289532	0.0205632	0.0028
-0.0107	0.0797	-0.0199	0.0021607176139689798	-0.0004939281783143952	-8.028514559173915e-05	1.03368771	51.36372375	0.9411519	0.15149031394697304	0.0162396	0.0008
-0.012	0.1871	-0.0233	0.0021135937241651332	-0.000450294947014537	-7.330382858376184e-05	0.97183263	48.29015732	0.91755166	0.1169869219055841	0.0148	0.0003
